#Desempeños:
1|1|Definiendo las entradas del controlador conforme a las necesidades de la empresa,
2|1| Definiendo las salidas del controlador conforme a las necesidades de la empresa,
3|1| Elaborando el algoritmo del programa de acuerdo a las especificaciones de la empresa,
4|1| Elaborando la arquitectura del programa de acuerdo a las necesidades de la empresa,
5|1| Utilizando los símbolos de cada elemento de acuerdo a las políticas de la empresa, y
6|1| Revisando el funcionamiento del programa conforme a las necesidades de la empresa

#Productos en E2590 1/3 
7|2|Está de acuerdo a las especificaciones del proceso,
8|2|Está en formato digital,
9|2|Contiene el nombre del técnico,
10|2|Contiene fecha de elaboración,
11|2|Contiene el diagrama utilizado,,
12|2|Contiene la simbología del diagrama,
13|2|Describe el funcionamiento del PLC, y
14|2|Describe la operación del PLC

#desempeños 2/3
15|3|Verificando el funcionamiento de los actuadores, y
16|3| Revisando la presión de los actuadores.
17|4|Verificando el funcionamiento de los componentes de fuerza,
18|4| Revisando la corriente de los componentes de fuerza, y
19|4| Revisando la fuerza motriz eléctrica.

#productos 
20|5|Cumplen con el funcionamiento eléctrico de fuerza solicitado por la empresa,
21|5|Cuenta con componentes pasivos,
22|5|Cuenta con componentes activos, y
23|5|Cuenta con la potencia de la resistencia solicitada por la empresa


#desempeños 3/3 
24|6|Utilizando lenguajes de programación,
25|6|Siguiendo la sintaxis básica del lenguaje de programación,
26|6|Verificando las instrucciones del microcontrolador,
27|6|Realizando el programa en papel, y
28|6|Sistematizando el microcontrolador cumpliendo con las necesidades del proceso.

29|7|Seleccionando el microcontrolador con base en la necesidades del proceso,
30|7|Identificando pines de un CI,
31|7|Revisando el diagrama básico de un microcontrolador,
32|7|Identificando el programador del microcontrolador,
33|7|Utilizando el microcontrolador de acuerdo a sus características de entrada y salida,
34|7|Utilizando lenguajes de programación,
35|7|Siguiendo la sintaxis básica del lenguaje de programación,
36|7|Digitando los datos e instrucciones en el lenguaje de programación,
37|7|Compilando el programa,
38|7|Seleccionando el programa de control,
39|7|Borrando la memoria del microcontrolador, y
40|7|Transfiriendo el programa al microcontrolador

41|8|De acuerdo a lo solicitado por la empresa,
42|8|Realizando el diagrama de clases,
43|8|Utilizando un lenguaje de codificación de comandos y datos orientado a objetos, y
44|8|Codificando la aplicación en el software.

45|9|Utilizando diferentes plataformas/versiones de sistemas operativos de acuerdo a las aplicaciones a implementar
46|9|Verificando el funcionamiento de acuerdo al manual de usuario de cada aplicación.
